symbol,net_profitability_results_error_message,simulation_results_error_message,simulation_results_decision_outcome
ALT/USDT,V2: ALT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ALT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
RDNT/USDT,V2: RDNT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: RDNT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ENJ/USDT,V2: ENJ/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ENJ/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CSPR/USDT,V2: CSPR/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CSPR/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DEGEN/USDT,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BOB/USDT,V2: BOB/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BOB/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZK/USDT,V2: ZK/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZK/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
POLC/USDT,V2: POLC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: POLC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
RDNT/USDT,V2: RDNT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: RDNT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SLIM/USDT,V2: SLIM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SLIM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
USDX/USDT,V2: USDX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: USDX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
MEX/USDT,V2: MEX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: MEX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DEGEN/USDT,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
VOLT/USDT,V2: VOLT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: VOLT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BOB/USDT,V2: BOB/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BOB/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZK/USDT,V2: ZK/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZK/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
POLC/USDT,V2: POLC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: POLC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DESO/USDT,V2: DESO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DESO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ENJ/USDT,V2: ENJ/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ENJ/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DEGEN/USDT,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
VOLT/USDT,V2: VOLT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: VOLT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BOB/USDT,V2: BOB/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BOB/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DC/USDT,V2: DC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ALT/USDT,V2: ALT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ALT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
RDNT/USDT,V2: RDNT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: RDNT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SLIM/USDT,V2: SLIM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SLIM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
USDX/USDT,V2: USDX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: USDX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
PORK/USDT,V2: PORK/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: PORK/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DEGEN/USDT,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
NOVA/USDT,V2: NOVA/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: NOVA/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BOB/USDT,V2: BOB/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BOB/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DC/USDT,V2: DC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
POLC/USDT,V2: POLC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: POLC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DESO/USDT,V2: DESO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DESO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
USDX/USDT,V2: USDX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: USDX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DEGEN/USDT,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
VOLT/USDT,V2: VOLT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: VOLT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
GME/USDT,V2: GME/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: GME/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ZK/USDT,V2: ZK/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ZK/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
POLC/USDT,V2: POLC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: POLC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DESO/USDT,V2: DESO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DESO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
USDX/USDT,V2: USDX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: USDX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DEGEN/USDT,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
VOLT/USDT,V2: VOLT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: VOLT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BOB/USDT,V2: BOB/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BOB/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
GME/USDT,V2: GME/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: GME/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ALT/USDT,V2: ALT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ALT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DESO/USDT,V2: DESO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DESO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ENJ/USDT,V2: ENJ/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ENJ/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DEGEN/USDT,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
VOLT/USDT,V2: VOLT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: VOLT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
X/USDT,V2: X/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: X/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DC/USDT,V2: DC/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DC/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ALT/USDT,V2: ALT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ALT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DESO/USDT,V2: DESO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DESO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ENJ/USDT,V2: ENJ/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ENJ/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
DEGEN/USDT,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: DEGEN/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
VOLT/USDT,V2: VOLT/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: VOLT/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
